stb->k,time,curX,curY,curZ,refX,refY,refZ,oldX,oldY,oldZ
16,1.62667E+18,0.001325,-0.000774,-0.000114,0.001325,-0.000774,-0.000114,0.003109,-0.00104,-0.000068
17,1.62667E+18,0.002716,-0.000795,-0.00006,0.002716,-0.000795,-0.00006,0.003181,-0.001045,-0.000066
18,1.62667E+18,0.004962,-0.002502,-0.000498,0.004962,-0.002502,-0.000498,0.003251,-0.00105,-0.000064
19,1.62667E+18,0.006177,-0.001155,-0.000025,0.006177,-0.001155,-0.000025,0.003319,-0.001054,-0.000062
20,1.62667E+18,0.007352,-0.000849,0.000144,0.007352,-0.000849,0.000144,0.003372,-0.001059,-0.00006
21,1.62667E+18,0.008449,-0.002143,-0.000171,0.008449,-0.002143,-0.000171,0.003411,-0.001064,-0.000058
22,1.62667E+18,0.008318,-0.001305,0.00007,0.008318,-0.001305,0.00007,0.003433,-0.001068,-0.000056
23,1.62667E+18,0.007678,-0.00093,0.00024,0.007678,-0.00093,0.00024,0.003443,-0.001073,-0.000053
24,1.62667E+18,0.006727,-0.001755,0.000017,0.006727,-0.001755,0.000017,0.00344,-0.001077,-0.00005
25,1.62667E+18,0.004963,-0.001375,0.000101,0.004963,-0.001375,0.000101,0.003426,-0.001082,-0.000048
26,1.62667E+18,0.002152,-0.001192,0.000159,0.002152,-0.001192,0.000159,0.003416,-0.001086,-0.000044
27,1.62667E+18,-0.000375,-0.001482,-0.000026,-0.000375,-0.001482,-0.000026,0.003412,-0.001091,-0.00004
28,1.62667E+18,-0.002802,-0.001408,0.000053,-0.002802,-0.001408,0.000053,0.003415,-0.001095,-0.000036
29,1.62667E+18,-0.003444,-0.001318,0.000178,-0.003444,-0.001318,0.000178,0.003435,-0.001099,-0.00003
30,1.62667E+18,-0.002719,-0.001438,0.000103,-0.002719,-0.001438,0.000103,0.003472,-0.001104,-0.000024
31,1.62667E+18,-0.000895,-0.001546,0.000241,-0.000895,-0.001546,0.000241,0.003525,-0.001108,-0.000018
32,1.62667E+18,0.001887,-0.001327,0.000359,0.001887,-0.001327,0.000359,0.003584,-0.001113,-0.00001
33,1.62667E+18,0.005239,-0.001474,0.00043,0.005239,-0.001474,0.00043,0.003645,-0.001118,-0.000002
34,1.62667E+18,0.008307,-0.001446,0.000542,0.008307,-0.001446,0.000542,0.003706,-0.001122,0.000006
35,1.62667E+18,0.010552,-0.001311,0.000714,0.010552,-0.001311,0.000714,0.00375,-0.001127,0.000015
36,1.62667E+18,0.011887,-0.001495,0.00075,0.011887,-0.001495,0.00075,0.00377,-0.001132,0.000024
37,1.62667E+18,0.011951,-0.001439,0.000771,0.011951,-0.001439,0.000771,0.003766,-0.001136,0.000033
38,1.62667E+18,0.010802,-0.001354,0.000824,0.010802,-0.001354,0.000824,0.003743,-0.001141,0.000043
39,1.62667E+18,0.008514,-0.00147,0.000795,0.008514,-0.00147,0.000795,0.003699,-0.001145,0.000054
40,1.62667E+18,0.005365,-0.001544,0.00071,0.005365,-0.001544,0.00071,0.003639,-0.00115,0.000064
41,1.62667E+18,0.000523,-0.001705,0.000614,0.000523,-0.001705,0.000614,0.003585,-0.001154,0.000076
42,1.62667E+18,-0.004161,-0.001198,0.000572,-0.004161,-0.001198,0.000572,0.003541,-0.001159,0.000088
43,1.62667E+18,-0.00788,-0.001375,0.000615,-0.00788,-0.001375,0.000615,0.003512,-0.001163,0.000101
44,1.62667E+18,-0.008716,-0.001556,0.000561,-0.008716,-0.001556,0.000561,0.00351,-0.001167,0.000114
45,1.62667E+18,-0.007722,-0.001134,0.000614,-0.007722,-0.001134,0.000614,0.003537,-0.001171,0.000129
46,1.62667E+18,-0.004528,-0.001481,0.000831,-0.004528,-0.001481,0.000831,0.003594,-0.001175,0.000144
47,1.62667E+18,0.000413,-0.001531,0.00085,0.000413,-0.001531,0.00085,0.003661,-0.001179,0.00016
48,1.62667E+18,0.006065,-0.001376,0.00102,0.006065,-0.001376,0.00102,0.003734,-0.001182,0.000177
49,1.62667E+18,0.011279,-0.001387,0.001169,0.011279,-0.001387,0.001169,0.003808,-0.001186,0.000193
50,1.62667E+18,0.015075,-0.001393,0.001254,0.015075,-0.001393,0.001254,0.003855,-0.001189,0.000211
51,1.62667E+18,0.017093,-0.001256,0.00133,0.017093,-0.001256,0.00133,0.003868,-0.001192,0.000228
52,1.62667E+18,0.017104,-0.001185,0.00139,0.017104,-0.001185,0.00139,0.003846,-0.001195,0.000246
53,1.62667E+18,0.015321,-0.00127,0.001372,0.015321,-0.00127,0.001372,0.003792,-0.001197,0.000264
54,1.62667E+18,0.011486,-0.001237,0.001353,0.011486,-0.001237,0.001353,0.003709,-0.001199,0.000283
55,1.62667E+18,0.006073,-0.001316,0.001302,0.006073,-0.001316,0.001302,0.003601,-0.001201,0.000301
56,1.62667E+18,-0.002063,-0.001748,0.001018,-0.002063,-0.001748,0.001018,0.0035,-0.001203,0.000321
57,1.62667E+18,-0.009264,-0.000925,0.001039,-0.009264,-0.000925,0.001039,0.003418,-0.001205,0.000341
58,1.62667E+18,-0.014482,-0.000929,0.001105,-0.014482,-0.000929,0.001105,0.003359,-0.001206,0.000362
59,1.62667E+18,-0.01547,-0.001451,0.00102,-0.01547,-0.001451,0.00102,0.00334,-0.001207,0.000384
60,1.62667E+18,-0.014092,-0.000794,0.001062,-0.014092,-0.000794,0.001062,0.003367,-0.001208,0.000408
61,1.62667E+18,-0.009594,-0.001118,0.001331,-0.009594,-0.001118,0.001331,0.00344,-0.001208,0.000431
62,1.62667E+18,-0.001846,-0.001389,0.001386,-0.001846,-0.001389,0.001386,0.003536,-0.001208,0.000456
63,1.62667E+18,0.007563,-0.001157,0.001617,0.007563,-0.001157,0.001617,0.003649,-0.001208,0.000482
64,1.62667E+18,0.01568,-0.001057,0.00197,0.01568,-0.001057,0.00197,0.003772,-0.001208,0.000508
65,1.62667E+18,0.021073,-0.001026,0.002063,0.021073,-0.001026,0.002063,0.003879,-0.001208,0.000535
66,1.62667E+18,0.023683,-0.000875,0.002161,0.023683,-0.000875,0.002161,0.003958,-0.001207,0.000562
67,1.62667E+18,0.023698,-0.000714,0.002223,0.023698,-0.000714,0.002223,0.004005,-0.001206,0.000589
68,1.62667E+18,0.021127,-0.000878,0.002228,0.021127,-0.000878,0.002228,0.004024,-0.001205,0.000617
69,1.62667E+18,0.01536,-0.001125,0.002129,0.01536,-0.001125,0.002129,0.004013,-0.001205,0.000644
70,1.62667E+18,0.006779,-0.001319,0.001931,0.006779,-0.001319,0.001931,0.003976,-0.001204,0.000672
71,1.62667E+18,-0.000219,-0.000962,0.001903,-0.000219,-0.000962,0.001903,0.003938,-0.001202,0.000701
72,1.62667E+18,-0.006926,-0.001183,0.001826,-0.006926,-0.001183,0.001826,0.00391,-0.001201,0.00073
73,1.62667E+18,-0.010344,-0.001124,0.001712,-0.010344,-0.001124,0.001712,0.003897,-0.0012,0.000759
74,1.62667E+18,-0.011648,-0.000721,0.001759,-0.011648,-0.000721,0.001759,0.003911,-0.001198,0.000789
75,1.62667E+18,-0.010143,-0.001075,0.001876,-0.010143,-0.001075,0.001876,0.003958,-0.001196,0.00082
76,1.62667E+18,-0.006346,-0.001083,0.001951,-0.006346,-0.001083,0.001951,0.004036,-0.001194,0.00085
77,1.62667E+18,-0.000034,-0.001135,0.002144,-0.000034,-0.001135,0.002144,0.004132,-0.001192,0.000882
78,1.62667E+18,0.007322,-0.001125,0.002281,0.007322,-0.001125,0.002281,0.004235,-0.00119,0.000914
79,1.62667E+18,0.013889,-0.001043,0.002402,0.013889,-0.001043,0.002402,0.004339,-0.001188,0.000946
80,1.62667E+18,0.01815,-0.000926,0.002579,0.01815,-0.000926,0.002579,0.004427,-0.001186,0.000979
81,1.62667E+18,0.020472,-0.000889,0.002627,0.020472,-0.000889,0.002627,0.004485,-0.001184,0.001011
82,1.62667E+18,0.020327,-0.000854,0.002633,0.020327,-0.000854,0.002633,0.004508,-0.001181,0.001043
83,1.62667E+18,0.017454,-0.000839,0.002659,0.017454,-0.000839,0.002659,0.004507,-0.001179,0.001076
84,1.62667E+18,0.012299,-0.00102,0.002593,0.012299,-0.00102,0.002593,0.004478,-0.001177,0.001108
85,1.62667E+18,0.005179,-0.001199,0.002498,0.005179,-0.001199,0.002498,0.004426,-0.001174,0.00114
86,1.62667E+18,-0.001855,-0.001135,0.002372,-0.001855,-0.001135,0.002372,0.004376,-0.001172,0.001173
87,1.62667E+18,-0.00764,-0.001024,0.002257,-0.00764,-0.001024,0.002257,0.004338,-0.00117,0.001206
88,1.62667E+18,-0.011038,-0.000939,0.002233,-0.011038,-0.000939,0.002233,0.004319,-0.001167,0.001238
89,1.62667E+18,-0.011828,-0.000949,0.002264,-0.011828,-0.000949,0.002264,0.004327,-0.001165,0.001272
90,1.62667E+18,-0.009915,-0.000995,0.002342,-0.009915,-0.000995,0.002342,0.004371,-0.001162,0.001307
91,1.62667E+18,-0.005492,-0.001045,0.002569,-0.005492,-0.001045,0.002569,0.004447,-0.00116,0.001341
92,1.62667E+18,0.001281,-0.001187,0.002668,0.001281,-0.001187,0.002668,0.004538,-0.001157,0.001376
93,1.62667E+18,0.008716,-0.001081,0.002796,0.008716,-0.001081,0.002796,0.004636,-0.001154,0.001412
94,1.62667E+18,0.015267,-0.000952,0.002989,0.015267,-0.000952,0.002989,0.004733,-0.001152,0.001447
95,1.62667E+18,0.019185,-0.000882,0.003138,0.019185,-0.000882,0.003138,0.004811,-0.001149,0.001482
96,1.62667E+18,0.021003,-0.000829,0.0032,0.021003,-0.000829,0.0032,0.004855,-0.001146,0.001518
97,1.62667E+18,0.020711,-0.000814,0.003231,0.020711,-0.000814,0.003231,0.004864,-0.001144,0.001553
98,1.62667E+18,0.017778,-0.000868,0.003208,0.017778,-0.000868,0.003208,0.004846,-0.001141,0.001588
99,1.62667E+18,0.01247,-0.001062,0.003169,0.01247,-0.001062,0.003169,0.0048,-0.001139,0.001623
100,1.62667E+18,0.005091,-0.001136,0.003097,0.005091,-0.001136,0.003097,0.00473,-0.001137,0.001658
101,1.62667E+18,-0.002171,-0.001172,0.00294,-0.002171,-0.001172,0.00294,0.004663,-0.001134,0.001693
102,1.62667E+18,-0.008078,-0.001038,0.002888,-0.008078,-0.001038,0.002888,0.004611,-0.001132,0.001728
103,1.62667E+18,-0.011441,-0.000851,0.002864,-0.011441,-0.000851,0.002864,0.004578,-0.001129,0.001764
104,1.62667E+18,-0.012188,-0.000943,0.002901,-0.012188,-0.000943,0.002901,0.004575,-0.001127,0.0018
105,1.62667E+18,-0.010197,-0.000996,0.002945,-0.010197,-0.000996,0.002945,0.00461,-0.001124,0.001837
106,1.62667E+18,-0.005555,-0.000932,0.003094,-0.005555,-0.000932,0.003094,0.00468,-0.001122,0.001873
107,1.62667E+18,0.001427,-0.001174,0.003239,0.001427,-0.001174,0.003239,0.004765,-0.001119,0.001911
108,1.62667E+18,0.009212,-0.001127,0.003374,0.009212,-0.001127,0.003374,0.004858,-0.001116,0.001948
109,1.62667E+18,0.015892,-0.000875,0.003559,0.015892,-0.000875,0.003559,0.004952,-0.001114,0.001985
110,1.62667E+18,0.019882,-0.000847,0.003751,0.019882,-0.000847,0.003751,0.005025,-0.001111,0.002023
111,1.62667E+18,0.021671,-0.000849,0.003812,0.021671,-0.000849,0.003812,0.005067,-0.001108,0.00206
112,1.62667E+18,0.021287,-0.000732,0.003797,0.021287,-0.000732,0.003797,0.005073,-0.001106,0.002097
113,1.62667E+18,0.018255,-0.000841,0.003833,0.018255,-0.000841,0.003833,0.005051,-0.001103,0.002134
114,1.62667E+18,0.01274,-0.000998,0.003775,0.01274,-0.000998,0.003775,0.005002,-0.0011,0.002171
115,1.62667E+18,0.005027,-0.001136,0.003669,0.005027,-0.001136,0.003669,0.00493,-0.001098,0.002207
116,1.62667E+18,-0.002148,-0.001109,0.003553,-0.002148,-0.001109,0.003553,0.004861,-0.001095,0.002245
117,1.62667E+18,-0.008034,-0.000933,0.003468,-0.008034,-0.000933,0.003468,0.004806,-0.001092,0.002282
118,1.62667E+18,-0.011307,-0.000863,0.003462,-0.011307,-0.000863,0.003462,0.004771,-0.001089,0.002319
119,1.62667E+18,-0.011982,-0.000817,0.00351,-0.011982,-0.000817,0.00351,0.004766,-0.001086,0.002357
120,1.62667E+18,-0.009939,-0.00086,0.00353,-0.009939,-0.00086,0.00353,0.004798,-0.001082,0.002395
121,1.62667E+18,-0.005203,-0.000886,0.003697,-0.005203,-0.000886,0.003697,0.004865,-0.001079,0.002433
122,1.62667E+18,0.001759,-0.000997,0.003862,0.001759,-0.000997,0.003862,0.004947,-0.001075,0.002472
123,1.62667E+18,0.009426,-0.000957,0.004016,0.009426,-0.000957,0.004016,0.005036,-0.001072,0.00251
124,1.62667E+18,0.016128,-0.000818,0.004158,0.016128,-0.000818,0.004158,0.005126,-0.001068,0.002548
125,1.62667E+18,0.020056,-0.000674,0.004325,0.020056,-0.000674,0.004325,0.005195,-0.001064,0.002587
126,1.62667E+18,0.021707,-0.000632,0.004394,0.021707,-0.000632,0.004394,0.005232,-0.00106,0.002625
127,1.62667E+18,0.021273,-0.000621,0.004386,0.021273,-0.000621,0.004386,0.005233,-0.001056,0.002663
128,1.62667E+18,0.018164,-0.000651,0.00437,0.018164,-0.000651,0.00437,0.005207,-0.001051,0.002701
129,1.62667E+18,0.012575,-0.000835,0.004365,0.012575,-0.000835,0.004365,0.005154,-0.001047,0.002738
130,1.62667E+18,0.004948,-0.000955,0.004191,0.004948,-0.000955,0.004191,0.005078,-0.001042,0.002775
131,1.62667E+18,-0.002307,-0.000893,0.004068,-0.002307,-0.000893,0.004068,0.005004,-0.001038,0.002812
132,1.62667E+18,-0.008159,-0.000619,0.003982,-0.008159,-0.000619,0.003982,0.004946,-0.001033,0.002849
133,1.62667E+18,-0.011295,-0.000546,0.003975,-0.011295,-0.000546,0.003975,0.004908,-0.001028,0.002886
134,1.62667E+18,-0.011946,-0.00057,0.004023,-0.011946,-0.00057,0.004023,0.0049,-0.001023,0.002924
135,1.62667E+18,-0.009855,-0.000529,0.00405,-0.009855,-0.000529,0.00405,0.004929,-0.001017,0.002962
136,1.62667E+18,-0.004952,-0.000715,0.004214,-0.004952,-0.000715,0.004214,0.004993,-0.001012,0.003
137,1.62667E+18,0.001974,-0.000755,0.004365,0.001974,-0.000755,0.004365,0.005071,-0.001006,0.003038
138,1.62667E+18,0.009639,-0.00071,0.004488,0.009639,-0.00071,0.004488,0.005157,-0.001,0.003076
139,1.62667E+18,0.016271,-0.000618,0.004714,0.016271,-0.000618,0.004714,0.005242,-0.000994,0.003113
140,1.62667E+18,0.020183,-0.000448,0.004834,0.020183,-0.000448,0.004834,0.005307,-0.000988,0.003151
141,1.62667E+18,0.021739,-0.000428,0.00491,0.021739,-0.000428,0.00491,0.00534,-0.000982,0.003188
142,1.62667E+18,0.021224,-0.000341,0.004856,0.021224,-0.000341,0.004856,0.005338,-0.000975,0.003224
143,1.62667E+18,0.018121,-0.000403,0.004839,0.018121,-0.000403,0.004839,0.005309,-0.000969,0.003261
144,1.62667E+18,0.012461,-0.000552,0.004756,0.012461,-0.000552,0.004756,0.005253,-0.000963,0.003297
145,1.62667E+18,0.004818,-0.000683,0.004638,0.004818,-0.000683,0.004638,0.005175,-0.000956,0.003332
146,1.62667E+18,-0.002441,-0.000621,0.004522,-0.002441,-0.000621,0.004522,0.005101,-0.00095,0.003367
147,1.62667E+18,-0.00813,-0.000473,0.004379,-0.00813,-0.000473,0.004379,0.005042,-0.000943,0.003402
148,1.62667E+18,-0.011198,-0.000446,0.004416,-0.011198,-0.000446,0.004416,0.005004,-0.000936,0.003437
149,1.62667E+18,-0.011801,-0.00037,0.004436,-0.011801,-0.00037,0.004436,0.004997,-0.00093,0.003472
150,1.62667E+18,-0.009547,-0.000502,0.004469,-0.009547,-0.000502,0.004469,0.005026,-0.000922,0.003508
151,1.62667E+18,-0.004614,-0.000573,0.004619,-0.004614,-0.000573,0.004619,0.005091,-0.000916,0.003542
152,1.62667E+18,0.002356,-0.000546,0.004703,0.002356,-0.000546,0.004703,0.00517,-0.000908,0.003578
153,1.62667E+18,0.010005,-0.000673,0.004843,0.010005,-0.000673,0.004843,0.005255,-0.000901,0.003613
154,1.62667E+18,0.016596,-0.000414,0.004985,0.016596,-0.000414,0.004985,0.00534,-0.000894,0.003647
155,1.62667E+18,0.020433,-0.000231,0.005156,0.020433,-0.000231,0.005156,0.005404,-0.000887,0.003682
156,1.62667E+18,0.021939,-0.00031,0.005229,0.021939,-0.00031,0.005229,0.005436,-0.000879,0.003716
157,1.62667E+18,0.021368,-0.000227,0.005171,0.021368,-0.000227,0.005171,0.005432,-0.000872,0.003749
158,1.62667E+18,0.018041,-0.000256,0.005189,0.018041,-0.000256,0.005189,0.005401,-0.000865,0.003782
159,1.62667E+18,0.012378,-0.000487,0.005105,0.012378,-0.000487,0.005105,0.005343,-0.000858,0.003815
160,1.62667E+18,0.004684,-0.000574,0.005009,0.004684,-0.000574,0.005009,0.005263,-0.000851,0.003847
161,1.62667E+18,-0.002618,-0.000486,0.004878,-0.002618,-0.000486,0.004878,0.005187,-0.000844,0.003879
162,1.62667E+18,-0.008257,-0.000405,0.004786,-0.008257,-0.000405,0.004786,0.005128,-0.000837,0.003912
163,1.62667E+18,-0.011246,-0.000367,0.004757,-0.011246,-0.000367,0.004757,0.005089,-0.00083,0.003944
164,1.62667E+18,-0.011751,-0.000307,0.004831,-0.011751,-0.000307,0.004831,0.00508,-0.000823,0.003977
165,1.62667E+18,-0.009441,-0.000425,0.004877,-0.009441,-0.000425,0.004877,0.005108,-0.000816,0.00401
166,1.62667E+18,-0.00444,-0.000535,0.005012,-0.00444,-0.000535,0.005012,0.005171,-0.00081,0.004042
167,1.62667E+18,0.002542,-0.000633,0.005218,0.002542,-0.000633,0.005218,0.005249,-0.000803,0.004076
168,1.62667E+18,0.01013,-0.000625,0.005329,0.01013,-0.000625,0.005329,0.005332,-0.000797,0.004109
169,1.62667E+18,0.016707,-0.000462,0.005496,0.016707,-0.000462,0.005496,0.005414,-0.000791,0.004142
170,1.62667E+18,0.020516,-0.000275,0.005681,0.020516,-0.000275,0.005681,0.005476,-0.000784,0.004175
171,1.62667E+18,0.021932,-0.000294,0.005705,0.021932,-0.000294,0.005705,0.005505,-0.000778,0.004207
172,1.62667E+18,0.021273,-0.000388,0.005643,0.021273,-0.000388,0.005643,0.005498,-0.000773,0.004239
173,1.62667E+18,0.017929,-0.000361,0.005629,0.017929,-0.000361,0.005629,0.005465,-0.000767,0.004271
174,1.62667E+18,0.012247,-0.000561,0.005638,0.012247,-0.000561,0.005638,0.005405,-0.000761,0.004303
175,1.62667E+18,0.004563,-0.000672,0.005532,0.004563,-0.000672,0.005532,0.005324,-0.000756,0.004334
176,1.62667E+18,-0.002755,-0.000611,0.005394,-0.002755,-0.000611,0.005394,0.005247,-0.000751,0.004366
177,1.62667E+18,-0.00831,-0.000504,0.005361,-0.00831,-0.000504,0.005361,0.005186,-0.000746,0.004398
178,1.62667E+18,-0.011214,-0.00042,0.00529,-0.011214,-0.00042,0.00529,0.005146,-0.000741,0.004429
179,1.62667E+18,-0.011658,-0.000503,0.005365,-0.011658,-0.000503,0.005365,0.005137,-0.000737,0.004462
180,1.62667E+18,-0.009329,-0.000564,0.005419,-0.009329,-0.000564,0.005419,0.005164,-0.000732,0.004495
181,1.62667E+18,-0.004201,-0.000565,0.005579,-0.004201,-0.000565,0.005579,0.005226,-0.000727,0.004527
182,1.62667E+18,0.002789,-0.000793,0.005734,0.002789,-0.000793,0.005734,0.005302,-0.000722,0.00456
183,1.62667E+18,0.010352,-0.0007,0.005882,0.010352,-0.0007,0.005882,0.005384,-0.000718,0.004593
184,1.62667E+18,0.016811,-0.000483,0.006008,0.016811,-0.000483,0.006008,0.005464,-0.000713,0.004625
