time,gyr_x,gyr_y,gyr_z,x_sum,Y_sum,z_sum
1.62667E+18,0.006946,-0.065153,-0.004939,0,0,0
1.62667E+18,0.005725,-0.11226,-0.005917,6.94609E-05,-0.000651538,-4.93906E-05
1.62667E+18,0.019356,-0.10013,-0.016022,0.00012671,-0.001774124,-0.00010856
1.62667E+18,0.04119,-0.055467,-0.030142,0.000320273,-0.002775437,-0.000268782
1.62667E+18,0.040404,-0.011851,-0.02042,0.000732579,-0.003330653,-0.000570499
1.62667E+18,0.013265,0.031486,0.001414,0.00113622,-0.003449047,-0.000774498
1.62667E+18,0.001361,0.060458,0.016877,0.001268869,-0.003134191,-0.000760358
1.62667E+18,0.004974,0.075782,0.028205,0.001282479,-0.002529603,-0.000591586
1.62667E+18,0.011397,0.063774,0.026843,0.001332218,-0.001771793,-0.000309539
1.62667E+18,0.030456,0.027663,0.006336,0.001446303,-0.001133408,-4.08379E-05
1.62667E+18,0.050108,-0.013247,-0.008325,0.001750555,-0.000857058,2.2458E-05
1.62667E+18,0.060912,-0.05215,-0.005515,0.002251642,-0.000989529,-6.07931E-05
1.62667E+18,0.067387,-0.074229,-0.010105,0.002860754,-0.001511023,-0.000115942
1.62667E+18,0.071733,-0.063111,-0.018396,0.003534633,-0.002253322,-0.000216994
1.62667E+18,0.06723,-0.029374,-0.014085,0.004251954,-0.002884424,-0.000400951
1.62667E+18,0.051522,0.011676,-0.002443,0.004924262,-0.003178168,-0.000541803
1.62667E+18,0.033458,0.042918,0.012915,0.005439476,-0.003061409,-0.000566233
1.62667E+18,0.031364,0.056601,0.025447,0.00577406,-0.002632224,-0.000437081
1.62667E+18,0.029252,0.047927,0.020106,0.006087696,-0.002066221,-0.000182614
1.62667E+18,0.029199,0.026738,0.009564,0.00638022,-0.001586945,1.84482E-05
1.62667E+18,0.039043,0.002356,0.002286,0.006672206,-0.001319568,0.000114087
1.62667E+18,0.04105,-0.023387,-0.004817,0.007062641,-0.001296008,0.000136947
1.62667E+18,0.035657,-0.042412,-0.009495,0.007473136,-0.001529875,8.87779E-05
1.62667E+18,0.037769,-0.049498,-0.0122,0.00782971,-0.001954,-6.17336E-06
1.62667E+18,0.028082,-0.034069,-0.009146,0.008207395,-0.002448974,-0.000128172
1.62667E+18,0.014504,-0.002601,-0.000227,0.008488219,-0.002789668,-0.000219633
1.62667E+18,0.002915,0.025307,0.009093,0.008633257,-0.002815678,-0.000221903
1.62667E+18,-0.016842,0.039776,0.009913,0.008662407,-0.002562605,-0.000130972
1.62667E+18,-0.019757,0.038711,0.009844,0.00849399,-0.00216485,-3.1843E-05
1.62667E+18,-0.014277,0.023003,0.009442,0.00829622,-0.001777348,6.66965E-05
1.62667E+18,-0.022183,0.004835,0.003787,0.008153594,-0.001547551,0.000161021
1.62667E+18,-0.021188,-0.009477,-0.000995,0.007931761,-0.0014992,0.000198892
1.62667E+18,-0.026162,-0.023736,-0.005428,0.007719884,-0.001593969,0.000188942
1.62667E+18,-0.033353,-0.032847,-0.009355,0.007458261,-0.001831332,0.000134661
1.62667E+18,-0.025796,-0.023195,-0.006999,0.007124402,-0.002160126,4.10187E-05
1.62667E+18,-0.03447,-0.007069,-0.001868,0.006866696,-0.002391847,-2.89023E-05
1.62667E+18,-0.049899,0.010594,0.000873,0.006522001,-0.002462537,-4.7582E-05
1.62667E+18,-0.063844,0.018326,0.005603,0.006023004,-0.002356595,-3.88519E-05
1.62667E+18,-0.065834,0.027384,0.00644,0.005384572,-0.002173338,1.71774E-05
1.62667E+18,-0.040387,0.022078,0.004206,0.004725567,-0.001899221,8.16425E-05
