time,gyr_x,gyr_y,gyr_z,x_sum,y_sum,z_sum
1.62667E+18,0.430468,0.034435,0.002496,0,0,0
1.62667E+18,0.372488,0.016685,-0.005672,0.004304625,0.000344346,2.49597E-05
1.62667E+18,0.306794,0.035587,0.010524,0.008029553,0.000511198,-3.1761E-05
1.62667E+18,0.180135,0.008116,0.033912,0.011097453,0.000867063,7.34776E-05
1.62667E+18,0.091438,-0.042673,0.012217,0.012898826,0.000948224,0.000412602
1.62667E+18,0.035378,-0.055659,-0.024051,0.013813195,0.0005215,0.00053477
1.62667E+18,-0.013422,0.003822,-0.01768,0.014166979,-3.50975E-05,0.000294257
1.62667E+18,-0.118805,0.064822,-0.003089,0.014032761,3.12206E-06,0.00011746
1.62667E+18,-0.25138,0.021712,0.004032,0.012844696,0.00065135,8.65692E-05
1.62667E+18,-0.322519,-0.000436,-0.002217,0.010330928,0.000868468,0.000126889
1.62667E+18,-0.365838,-0.016685,-0.007575,0.007105697,0.000864108,0.000104718
1.62667E+18,-0.416348,-0.023492,-0.003072,0.003447363,0.00069726,2.89693E-05
1.62667E+18,-0.479634,-0.044698,0.012671,-0.00071617,0.000462337,-1.75105E-06
1.62667E+18,-0.448968,-0.011537,-0.004747,-0.005517237,1.49161E-05,0.000125084
1.62667E+18,-0.375263,-0.004119,-0.033214,-0.010002492,-0.00010034,7.76606E-05
1.62667E+18,-0.249058,0.007837,-0.019181,-0.013755074,-0.00014153,-0.000254475
1.62667E+18,-0.152489,0.020752,0.005707,-0.016245686,-6.31587E-05,-0.000446288
1.62667E+18,-0.092991,0.028501,0.001606,-0.017770556,0.000144359,-0.000389218
1.62667E+18,-0.002723,0.040177,-0.002688,-0.018701407,0.000429657,-0.000373142
1.62667E+18,0.097162,0.010664,0.009529,-0.018728609,0.000831021,-0.000399995
1.62667E+18,0.209544,-0.035011,0.017331,-0.017756977,0.000937662,-0.000304704
1.62667E+18,0.283511,-0.06524,0.008849,-0.015661564,0.000587556,-0.000131396
1.62667E+18,0.384095,-0.021502,-0.003176,-0.012826417,-6.48519E-05,-4.29048E-05
1.62667E+18,0.459982,0.03365,-0.003054,-0.008981682,-0.000280084,-7.46961E-05
1.62667E+18,0.474677,0.043494,0.007714,-0.004386395,5.60845E-05,-0.000105206
1.62667E+18,0.429997,0.031556,0.009721,0.000360314,0.000491019,-2.80669E-05
1.62667E+18,0.347006,0.00007,0.002059,0.004660339,0.000806583,6.91443E-05
1.62667E+18,0.30278,0.009442,0.00925,0.008130355,0.000807283,8.9734E-05
1.62667E+18,0.20443,-0.000087,0.014207,0.011158193,0.000901704,0.000182235
1.62667E+18,0.102206,-0.000611,0.005061,0.013202467,0.000900834,0.000324303
1.62667E+18,0.012374,-0.015027,0.000454,0.01422454,0.000894724,0.000374914
1.62667E+18,-0.033039,-0.005515,-0.000855,0.014348279,0.000744456,0.000379454
1.62667E+18,-0.117688,0.015289,-0.006388,0.014017884,0.000689305,0.000370904
1.62667E+18,-0.233822,0.006144,-0.00569,0.01284102,0.000842193,0.000307025
1.62667E+18,-0.316603,0.007034,-0.008273,0.01050277,0.000903634,0.000250124
1.62667E+18,-0.383396,-0.009076,-0.007121,0.00733678,0.000973973,0.000167395
1.62667E+18,-0.431917,-0.016232,-0.006493,0.003502771,0.000883212,9.61841E-05
1.62667E+18,-0.472827,-0.03632,-0.003368,-0.000816344,0.000720894,3.12549E-05
1.62667E+18,-0.435198,-0.009931,-0.004608,-0.005549395,0.000357327,-2.45911E-06
1.62667E+18,-0.388004,-0.00466,-0.003752,-0.009896974,0.000258117,-4.84925E-05
1.62667E+18,-0.273196,0.013195,-0.002775,-0.013777064,0.000211517,-8.6013E-05
1.62667E+18,-0.150674,0.018658,-0.005044,-0.016508989,0.000343465,-0.000113763
1.62667E+18,-0.067492,0.016616,-0.011013,-0.018015748,0.000530047,-0.000164203
1.62667E+18,0.008954,0.006231,-0.003683,-0.01869066,0.000696205,-0.000274332
1.62667E+18,0.083479,-0.014224,0.006912,-0.018601118,0.000758516,-0.000311162
