stb->k,time,curX,curY,curZ,refX,refY,refZ,oldX,oldY,oldZ
16,1626666109164184000,0.006378,0.000494,0.000096,0.006378,0.000494,0.000096,-0.000528,0.000353,0.000029
17,1626666109197510000,-0.005947,0.000032,-0.000002,-0.005947,0.000032,-0.000002,-0.000822,0.000350,0.000027
18,1626666109230835000,-0.019369,-0.000444,-0.000380,-0.019369,-0.000444,-0.000380,-0.001113,0.000348,0.000025
19,1626666109264161000,-0.023028,0.000430,-0.000421,-0.023028,0.000430,-0.000421,-0.001398,0.000346,0.000024
20,1626666109297487000,-0.016397,-0.000450,-0.000074,-0.016397,-0.000450,-0.000074,-0.001664,0.000344,0.000022
21,1626666109330813000,-0.001690,0.000313,-0.000002,-0.001690,0.000313,-0.000002,-0.001909,0.000343,0.000021
22,1626666109364138000,0.008605,0.000558,0.000279,0.008605,0.000558,0.000279,-0.002134,0.000341,0.000020
23,1626666109397464000,0.009493,0.000375,0.000334,0.009493,0.000375,0.000334,-0.002350,0.000339,0.000020
24,1626666109430790000,0.001035,0.000583,0.000105,0.001035,0.000583,0.000105,-0.002553,0.000337,0.000019
25,1626666109464115000,-0.013558,-0.000070,-0.000067,-0.013558,-0.000070,-0.000067,-0.002742,0.000335,0.000019
26,1626666109497441000,-0.022444,0.000218,-0.000210,-0.022444,0.000218,-0.000210,-0.002934,0.000333,0.000019
27,1626666109530767000,-0.021010,0.000203,-0.000239,-0.021010,0.000203,-0.000239,-0.003124,0.000331,0.000020
28,1626666109564093000,-0.009225,-0.000108,0.000075,-0.009225,-0.000108,0.000075,-0.003311,0.000329,0.000020
29,1626666109597419000,0.004715,0.000397,0.000242,0.004715,0.000397,0.000242,-0.003484,0.000326,0.000021
30,1626666109630744000,0.010228,0.000568,0.000449,0.010228,0.000568,0.000449,-0.003636,0.000323,0.000023
31,1626666109664070000,0.006632,0.000348,0.000431,0.006632,0.000348,0.000431,-0.003767,0.000320,0.000025
32,1626666109697396000,-0.006134,0.000042,0.000166,-0.006134,0.000042,0.000166,-0.003912,0.000317,0.000028
33,1626666109730722000,-0.020188,-0.000197,-0.000016,-0.020188,-0.000197,-0.000016,-0.004064,0.000313,0.000031
34,1626666109764047000,-0.023459,-0.000151,-0.000157,-0.023459,-0.000151,-0.000157,-0.004218,0.000309,0.000035
35,1626666109797373000,-0.016646,-0.000124,0.000227,-0.016646,-0.000124,0.000227,-0.004366,0.000305,0.000039
36,1626666109830699000,-0.001389,-0.000284,0.000460,-0.001389,-0.000284,0.000460,-0.004500,0.000301,0.000043
37,1626666109864024000,0.009249,0.000150,0.000717,0.009249,0.000150,0.000717,-0.004618,0.000297,0.000048
38,1626666109897350000,0.010084,0.000342,0.000785,0.010084,0.000342,0.000785,-0.004734,0.000292,0.000054
39,1626666109930676000,0.001182,-0.000182,0.000558,0.001182,-0.000182,0.000558,-0.004841,0.000287,0.000060
40,1626666109964002000,-0.014084,-0.000283,0.000379,-0.014084,-0.000283,0.000379,-0.004939,0.000282,0.000067
41,1626666109997327000,-0.023078,-0.000227,0.000186,-0.023078,-0.000227,0.000186,-0.005047,0.000277,0.000074
42,1626666110030653000,-0.021436,-0.000247,0.000261,-0.021436,-0.000247,0.000261,-0.005157,0.000271,0.000082
43,1626666110063979000,-0.009111,-0.000365,0.000491,-0.009111,-0.000365,0.000491,-0.005267,0.000265,0.000090
44,1626666110097305000,0.005230,-0.000170,0.000758,0.005230,-0.000170,0.000758,-0.005361,0.000259,0.000098
45,1626666110130631000,0.010711,0.000217,0.000970,0.010711,0.000217,0.000970,-0.005434,0.000253,0.000108
46,1626666110163956000,0.006876,0.000020,0.000895,0.006876,0.000020,0.000895,-0.005489,0.000246,0.000118
47,1626666110197282000,-0.006383,-0.000458,0.000649,-0.006383,-0.000458,0.000649,-0.005556,0.000239,0.000128
48,1626666110230608000,-0.020181,-0.000457,0.000512,-0.020181,-0.000457,0.000512,-0.005632,0.000233,0.000139
49,1626666110263934000,-0.023415,-0.000320,0.000426,-0.023415,-0.000320,0.000426,-0.005712,0.000226,0.000150
50,1626666110297259000,-0.016513,-0.000363,0.000687,-0.016513,-0.000363,0.000687,-0.005785,0.000218,0.000162
51,1626666110330585000,-0.001137,-0.000697,0.000908,-0.001137,-0.000697,0.000908,-0.005846,0.000211,0.000174
