time,gyr_x,gyr_y,gyr_z,x_sum,y_sum,z_sum
1.62667E+18,-0.119782,-0.062954,-0.059097,0,0,0
1.62667E+18,-0.136799,-0.012723,-0.044733,-0.001196609,-0.000628903,-0.000590372
1.62667E+18,-0.15303,0.003526,-0.036216,-0.002564616,-0.000756135,-0.001037708
1.62667E+18,-0.158127,-0.007906,-0.031102,-0.004094897,-0.000720875,-0.001399864
1.62667E+18,-0.144723,-0.011764,-0.030997,-0.005676187,-0.000799937,-0.001710887
1.62667E+18,-0.129346,-0.000785,-0.029461,-0.007123398,-0.000917575,-0.002020854
1.62667E+18,-0.112277,0.022777,-0.026669,-0.008416875,-0.000925425,-0.002315467
1.62667E+18,-0.085451,0.036233,-0.032446,-0.009539631,-0.000697658,-0.002582154
1.62667E+18,-0.044157,0.026075,-0.042935,-0.010394152,-0.000335323,-0.002906618
1.62667E+18,-0.002129,0.005253,-0.048503,-0.010835716,-7.45767E-05,-0.003335963
1.62667E+18,0.010856,-0.000663,-0.049759,-0.010857027,-2.19936E-05,-0.003821483
1.62667E+18,0.002723,-0.001449,-0.042865,-0.010748577,-2.86169E-05,-0.00431857
1.62667E+18,-0.001972,-0.000785,-0.043441,-0.010721347,-4.31071E-05,-0.004747225
1.62667E+18,0.000227,-0.011275,-0.03838,-0.010741067,-5.0957E-05,-0.00518163
1.62667E+18,0.004433,-0.02323,-0.031137,-0.010738797,-0.000163708,-0.005565435
1.62667E+18,0.003473,-0.030264,-0.027332,-0.010694467,-0.000396005,-0.005876801
1.62667E+18,-0.002793,-0.017767,-0.023335,-0.010659737,-0.000698649,-0.006150124
1.62667E+18,-0.006754,0.000122,-0.013299,-0.010687666,-0.000876317,-0.006383471
1.62667E+18,-0.012619,-0.002566,0.000646,-0.010755207,-0.000875097,-0.006516463
1.62667E+18,-0.016511,0.001588,0.01316,-0.010881396,-0.000900757,-0.006510003
1.62667E+18,-0.027454,-0.004957,0.015638,-0.011046508,-0.000884876,-0.006378401
1.62667E+18,-0.043075,-0.036338,0.024714,-0.011321044,-0.000934446,-0.006222023
1.62667E+18,-0.065939,-0.058364,0.02145,-0.0117518,-0.001297831,-0.00597488
1.62667E+18,-0.076829,-0.070354,0.020106,-0.012411181,-0.001881463,-0.005760383
1.62667E+18,-0.073531,-0.080617,0.024871,-0.013179481,-0.002585012,-0.00555932
1.62667E+18,-0.064996,-0.070092,0.019652,-0.013915516,-0.003391977,-0.005310365
1.62667E+18,-0.057212,-0.033528,0.015499,-0.014564835,-0.004092206,-0.005114039
1.62667E+18,-0.055083,0.013474,0.014399,-0.015136948,-0.004427481,-0.004959051
1.62667E+18,-0.062465,0.024609,0.019967,-0.015687785,-0.00429274,-0.004815059
1.62667E+18,-0.05147,-0.001553,0.018692,-0.016312427,-0.004046653,-0.004615392
1.62667E+18,-0.030037,-0.025831,0.013177,-0.016827647,-0.004062199,-0.004428283
1.62667E+18,-0.003473,-0.037507,0.007121,-0.017127714,-0.004320247,-0.004296646
1.62667E+18,0.010524,-0.015987,0.01124,-0.017162444,-0.004695322,-0.004225435
1.62667E+18,0.021084,0.03091,0.007295,-0.017057205,-0.00485519,-0.004113036
1.62667E+18,0.025203,0.091944,0.008796,-0.016846363,-0.004546086,-0.004040085
1.62667E+18,0.012933,0.140028,0.012025,-0.016594336,-0.003626658,-0.003952127
1.62667E+18,-0.012846,0.157533,0.017279,-0.016465004,-0.00222636,-0.003831875
1.62667E+18,-0.027489,0.122941,0.019373,-0.016593463,-0.00065105,-0.003659087
1.62667E+18,-0.018064,0.062238,0.020508,-0.016868356,0.000578376,-0.003465355
1.62667E+18,-0.00089,0.009634,0.01953,-0.017048994,0.001200748,-0.003260277
1.62667E+18,0.001047,-0.023789,0.02042,-0.017057903,0.001297185,-0.00306478
1.62667E+18,-0.001292,-0.031678,0.021817,-0.017047443,0.001059536,-0.002860786
1.62667E+18,-0.005515,-0.020944,0.016965,-0.017060364,0.000742751,-0.002642614
1.62667E+18,-0.013387,0.005376,0.015499,-0.017115513,0.000533314,-0.002472966
1.62667E+18,-0.027855,0.018361,0.014137,-0.017249385,0.000587075,-0.002317974
1.62667E+18,-0.043214,0.020892,0.015097,-0.017527931,0.000770682,-0.002176606
1.62667E+18,-0.06058,0.024208,0.013579,-0.017960077,0.000979605,-0.002025634
1.62667E+18,-0.081838,0.009861,0.014731,-0.018565869,0.001221682,-0.001889845
1.62667E+18,-0.093864,-0.014713,0.011589,-0.019384259,0.001320293,-0.001742533
1.62667E+18,-0.108158,-0.088244,0.010489,-0.020322887,0.001173165,-0.001626645
1.62667E+18,-0.116658,-0.177011,0.007313,-0.021405561,0.000289833,-0.001521649
1.62667E+18,-0.099257,-0.232652,0.001833,-0.022570961,-0.001478487,-0.001448593
1.62667E+18,-0.078941,-0.255272,0.004241,-0.023563544,-0.003805037,-0.001430263
1.62667E+18,-0.049759,-0.279898,0.015848,-0.024352944,-0.006357724,-0.001387853
1.62667E+18,-0.017785,-0.276495,0.02721,-0.02485054,-0.00915674,-0.001229371
1.62667E+18,0.001292,-0.231919,0.034819,-0.025028566,-0.011924415,-0.000957003
1.62667E+18,0.02892,-0.15242,0.055746,-0.025015658,-0.014241319,-0.000609156
1.62667E+18,0.077248,-0.074875,0.077213,-0.024726462,-0.0157655,-5.17032E-05
1.62667E+18,0.157568,-0.058486,0.090495,-0.023953972,-0.01651426,0.000720437
1.62667E+18,0.331805,-0.132121,0.107652,-0.022378312,-0.017099112,0.001625375
1.62667E+18,0.686752,-0.249216,0.102608,-0.019056907,-0.018421658,0.002702984
1.62667E+18,1.194887,-0.314386,0.058538,-0.012196332,-0.020911298,0.003728026
1.62667E+18,1.814863,-0.26173,0.030543,-0.000247309,-0.024055198,0.004313414
1.62667E+18,2.502401,-0.089937,0.051173,0.017901089,-0.026672465,0.00461884
1.62667E+18,3.249367,0.089099,0.090356,0.042925419,-0.027571846,0.005130576
1.62667E+18,3.921092,0.185773,0.131807,0.075418673,-0.026680868,0.006034125
1.62667E+18,4.599588,0.304769,0.16523,0.114630095,-0.024823114,0.007352212
1.62667E+18,5.257228,0.440661,0.12137,0.160625387,-0.021775463,0.00900449
1.62667E+18,5.956268,0.612401,0.02255,0.21319834,-0.017368796,0.010218206
1.62667E+18,6.773047,0.784002,0.020368,0.272760257,-0.011244865,0.010443703
1.62667E+18,7.51373,0.747804,0.116972,0.340559216,-0.003396917,0.010647589
1.62667E+18,7.765808,0.635789,0.216299,0.415620537,0.004073561,0.011816126
1.62667E+18,7.599862,0.375647,0.283145,0.493279611,0.010431533,0.013979144
1.62667E+18,7.358448,0.072955,0.313252,0.569277259,0.014187954,0.016810558
1.62667E+18,7.161348,-0.666035,0.369643,0.64286268,0.014917514,0.019943118
1.62667E+18,7.050956,-1.455692,0.430782,0.714475244,0.008257249,0.0236395
1.62667E+18,6.976308,-1.907069,0.400954,0.784985706,-0.006299857,0.027947376
1.62667E+18,6.608724,-1.645828,0.308539,0.854747893,-0.025370303,0.031956864
1.62667E+18,6.132843,-0.961066,0.239128,0.920835979,-0.041828794,0.035042294
1.62667E+18,5.678917,-0.507193,0.172247,0.982163624,-0.051439331,0.037433543
1.62667E+18,5.249723,-0.352626,0.145595,1.03901022,-0.05651639,0.039157755
