stb->k,time,curX,curY,curZ,refX,refY,refZ,oldX,oldY,oldZ
16,1626666220834219000,-0.009080,0.000244,-0.002272,-0.009080,0.000244,-0.002272,-0.010824,-0.000203,-0.002992
17,1626666220867545000,-0.009547,0.000597,-0.003812,-0.009547,0.000597,-0.003812,-0.010919,-0.000211,-0.003008
18,1626666220900870000,-0.009519,0.000342,-0.005139,-0.009519,0.000342,-0.005139,-0.011017,-0.000219,-0.003023
19,1626666220934196000,-0.009549,-0.000246,-0.005908,-0.009549,-0.000246,-0.005908,-0.011118,-0.000227,-0.003037
20,1626666220967522000,-0.010208,-0.000376,-0.005584,-0.010208,-0.000376,-0.005584,-0.011231,-0.000236,-0.003048
21,1626666221000847000,-0.012369,-0.002380,-0.004838,-0.012369,-0.002380,-0.004838,-0.011356,-0.000247,-0.003056
22,1626666221034173000,-0.014413,-0.003683,-0.004245,-0.014413,-0.003683,-0.004245,-0.011492,-0.000258,-0.003062
23,1626666221067499000,-0.015937,-0.003763,-0.003693,-0.015937,-0.003763,-0.003693,-0.011599,-0.000279,-0.003061
24,1626666221100825000,-0.015517,-0.003436,-0.003404,-0.015517,-0.003436,-0.003404,-0.011670,-0.000312,-0.003053
25,1626666221134151000,-0.015632,0.001030,-0.002903,-0.015632,0.001030,-0.002903,-0.011704,-0.000355,-0.003038
26,1626666221167477000,-0.015853,0.001628,-0.002229,-0.015853,0.001628,-0.002229,-0.003618,-0.001268,-0.003990
27,1626666221200802000,-0.016197,0.001311,-0.001654,-0.016197,0.001311,-0.001654,0.013710,-0.003124,-0.005927
28,1626666221234128000,-0.018067,0.001934,-0.001174,-0.018067,0.001934,-0.001174,0.039865,-0.005838,-0.008756
29,1626666221267454000,-0.021557,-0.001280,-0.000855,-0.021557,-0.001280,-0.000855,0.069983,-0.007713,-0.012801
30,1626666221300779000,-0.023745,-0.009958,-0.000499,-0.023745,-0.009958,-0.000499,0.106406,-0.008721,-0.017896
31,1626666221334105000,-0.022874,-0.015773,0.001193,-0.022874,-0.015773,0.001193,0.152298,-0.009073,-0.023737
32,1626666221367431000,-0.008837,-0.020852,0.004424,-0.008837,-0.020852,0.004424,0.210592,-0.009139,-0.030116
33,1626666221400757000,0.060804,-0.026488,0.006185,0.060804,-0.026488,0.006185,0.285907,-0.009114,-0.036640
34,1626666221434082000,0.206375,-0.017415,0.010623,0.206375,-0.017415,0.010623,0.381238,-0.009248,-0.042914
35,1626666221467408000,0.430805,0.005844,0.012797,0.430805,0.005844,0.012797,0.494586,-0.010005,-0.048369
36,1626666221500734000,0.680756,0.012132,0.022428,0.680756,0.012132,0.022428,0.622368,-0.011365,-0.052856
37,1626666221534059000,0.911804,-0.038652,0.035155,0.911804,-0.038652,0.035155,0.758471,-0.013182,-0.056368
38,1626666221567385000,1.101421,-0.059902,0.041430,1.101421,-0.059902,0.041430,0.896971,-0.014499,-0.057855
39,1626666221600711000,1.253609,-0.061008,0.044794,1.253609,-0.061008,0.044794,1.029544,-0.015348,-0.057548
40,1626666221634037000,1.371550,-0.049878,0.042069,1.371550,-0.049878,0.042069,1.148787,-0.015995,-0.055955
41,1626666221667363000,1.430917,-0.032224,0.033124,1.430917,-0.032224,0.033124,1.251395,-0.016809,-0.053954
42,1626666221700688000,1.439554,-0.019823,0.021912,1.439554,-0.019823,0.021912,1.336344,-0.017705,-0.051727
43,1626666221734014000,1.422461,-0.011675,0.013381,1.422461,-0.011675,0.013381,1.405023,-0.018655,-0.049331
44,1626666221767340000,1.402289,0.001071,0.007353,1.402289,0.001071,0.007353,1.459868,-0.019558,-0.046901
45,1626666221800666000,1.391369,0.010664,0.004150,1.391369,0.010664,0.004150,1.503022,-0.020317,-0.044546
46,1626666221833991000,1.390687,0.016562,0.004967,1.390687,0.016562,0.004967,1.536357,-0.020926,-0.042283
47,1626666221867317000,1.393824,0.021727,0.009048,1.393824,0.021727,0.009048,1.561086,-0.021229,-0.040052
48,1626666221900643000,1.394333,0.025238,0.014495,1.394333,0.025238,0.014495,1.579313,-0.021287,-0.037999
49,1626666221933968000,1.391075,0.029936,0.019432,1.391075,0.029936,0.019432,1.592418,-0.021147,-0.036135
50,1626666221967294000,1.386682,0.033245,0.023667,1.386682,0.033245,0.023667,1.600519,-0.020705,-0.034363
