stb->k,time,curX,curY,curZ,refX,refY,refZ,oldX,oldY,oldZ
16,1626666302918177000,0.001002,0.004527,-0.001546,0.001002,0.004527,-0.001546,0.002082,0.003929,-0.001659
17,1626666302951503000,0.001322,0.003672,-0.001734,0.001322,0.003672,-0.001734,0.002141,0.003921,-0.001660
18,1626666302984829000,0.002030,0.000516,-0.002076,0.002030,0.000516,-0.002076,0.002203,0.003913,-0.001661
19,1626666303018154000,0.002168,0.000340,-0.002676,0.002168,0.000340,-0.002676,0.002266,0.003905,-0.001662
20,1626666303051480000,0.002541,0.002815,-0.002831,0.002541,0.002815,-0.002831,0.002347,0.003899,-0.001661
21,1626666303084806000,0.003162,0.003009,-0.002515,0.003162,0.003009,-0.002515,0.002446,0.003894,-0.001658
22,1626666303118132000,0.003328,0.003431,-0.002125,0.003328,0.003431,-0.002125,0.002562,0.003890,-0.001654
23,1626666303151458000,0.002388,0.004567,-0.001534,0.002388,0.004567,-0.001534,0.002719,0.003888,-0.001647
24,1626666303184783000,0.001460,0.004196,-0.000690,0.001460,0.004196,-0.000690,0.002921,0.003888,-0.001636
25,1626666303218109000,0.003314,0.003965,-0.000820,0.003314,0.003965,-0.000820,0.003162,0.003891,-0.001622
26,1626666303251435000,0.007001,0.003806,-0.001453,0.007001,0.003806,-0.001453,0.003479,0.003896,-0.001605
27,1626666303284760000,0.010212,0.003939,-0.001408,0.010212,0.003939,-0.001408,0.003875,0.003905,-0.001583
28,1626666303318086000,0.012484,0.003463,-0.000729,0.012484,0.003463,-0.000729,0.004336,0.003915,-0.001558
29,1626666303351412000,0.015361,0.003842,0.000044,0.015361,0.003842,0.000044,0.004914,0.003928,-0.001529
30,1626666303384738000,0.017678,0.006007,0.000764,0.017678,0.006007,0.000764,0.005605,0.003943,-0.001497
31,1626666303418063000,0.021639,0.007281,0.001616,0.021639,0.007281,0.001616,0.006388,0.003958,-0.001461
32,1626666303451389000,0.027604,0.007291,0.002208,0.027604,0.007291,0.002208,0.007327,0.003975,-0.001421
33,1626666303484715000,0.033868,0.007077,0.002270,0.033868,0.007077,0.002270,0.008407,0.003992,-0.001377
34,1626666303518040000,0.039910,0.007124,0.002027,0.039910,0.007124,0.002027,0.009598,0.004009,-0.001330
35,1626666303551366000,0.045851,0.007748,0.001931,0.045851,0.007748,0.001931,0.010974,0.004026,-0.001279
36,1626666303584692000,0.053098,0.006294,0.001595,0.053098,0.006294,0.001595,0.012508,0.004043,-0.001224
37,1626666303618018000,0.060486,0.005826,0.001616,0.060486,0.005826,0.001616,0.014159,0.004060,-0.001167
38,1626666303651344000,0.067195,0.005660,0.002374,0.067195,0.005660,0.002374,0.016023,0.004076,-0.001102
39,1626666303684669000,0.074353,0.004870,0.003075,0.074353,0.004870,0.003075,0.018056,0.004090,-0.001032
40,1626666303717995000,0.081970,0.004526,0.003518,0.081970,0.004526,0.003518,0.020207,0.004103,-0.000957
41,1626666303751321000,0.088668,0.005960,0.003652,0.088668,0.005960,0.003652,0.022602,0.004114,-0.000871
42,1626666303784647000,0.094861,0.005253,0.003428,0.094861,0.005253,0.003428,0.025174,0.004123,-0.000774
43,1626666303817972000,0.101450,0.005541,0.002908,0.101450,0.005541,0.002908,0.027860,0.004129,-0.000669
44,1626666303851298000,0.108280,0.005102,0.002994,0.108280,0.005102,0.002994,0.030826,0.004134,-0.000550
45,1626666303884624000,0.115267,0.004789,0.004071,0.115267,0.004789,0.004071,0.033979,0.004135,-0.000419
46,1626666303917949000,0.123795,0.003384,0.005756,0.123795,0.003384,0.005756,0.037244,0.004133,-0.000280
47,1626666303951275000,0.132437,0.002111,0.007808,0.132437,0.002111,0.007808,0.040835,0.004129,-0.000129
48,1626666303984601000,0.140116,0.002393,0.009899,0.140116,0.002393,0.009899,0.044631,0.004120,0.000031
49,1626666304017927000,0.147755,0.002780,0.011698,0.147755,0.002780,0.011698,0.048542,0.004108,0.000196
50,1626666304051252000,0.156581,0.002234,0.012833,0.156581,0.002234,0.012833,0.052829,0.004092,0.000370
51,1626666304084578000,0.165631,0.002096,0.013670,0.165631,0.002096,0.013670,0.057340,0.004072,0.000548
52,1626666304117904000,0.174720,0.001840,0.013871,0.174720,0.001840,0.013871,0.061969,0.004049,0.000728
53,1626666304151229000,0.185370,0.001675,0.013335,0.185370,0.001675,0.013335,0.067011,0.004023,0.000915
54,1626666304184556000,0.196887,0.000216,0.012561,0.196887,0.000216,0.012561,0.072283,0.003993,0.001105
55,1626666304217881000,0.209003,-0.001402,0.011916,0.209003,-0.001402,0.011916,0.077661,0.003961,0.001296
56,1626666304251207000,0.222126,-0.000997,0.010971,0.222126,-0.000997,0.010971,0.083479,0.003925,0.001495
57,1626666304284533000,0.235466,-0.001020,0.010327,0.235466,-0.001020,0.010327,0.089517,0.003887,0.001697
58,1626666304317858000,0.248310,-0.001202,0.010179,0.248310,-0.001202,0.010179,0.095638,0.003847,0.001900
59,1626666304351184000,0.260682,0.000018,0.010407,0.260682,0.000018,0.010407,0.102217,0.003804,0.002114
60,1626666304384510000,0.272513,0.000361,0.010863,0.272513,0.000361,0.010863,0.108999,0.003760,0.002333
61,1626666304417836000,0.283286,-0.000176,0.011656,0.283286,-0.000176,0.011656,0.115834,0.003715,0.002553
62,1626666304451161000,0.294441,-0.000738,0.012343,0.294441,-0.000738,0.012343,0.123169,0.003669,0.002790
63,1626666304484487000,0.306139,-0.001764,0.012990,0.306139,-0.001764,0.012990,0.130720,0.003625,0.003036
64,1626666304517813000,0.318278,-0.001824,0.013493,0.318278,-0.001824,0.013493,0.138322,0.003584,0.003288
65,1626666304551138000,0.330057,-0.001301,0.014316,0.330057,-0.001301,0.014316,0.146724,0.003567,0.003594
66,1626666304584464000,0.341104,0.000444,0.015116,0.341104,0.000444,0.015116,0.155644,0.003579,0.003948
67,1626666304617790000,0.352450,0.000098,0.015925,0.352450,0.000098,0.015925,0.164883,0.003618,0.004341
68,1626666304651116000,0.364868,-0.000928,0.016710,0.364868,-0.000928,0.016710,0.174926,0.003677,0.004788
69,1626666304684441000,0.377730,-0.000733,0.017287,0.377730,-0.000733,0.017287,0.185424,0.003759,0.005278
70,1626666304717768000,0.390623,0.000086,0.018106,0.390623,0.000086,0.018106,0.196163,0.003863,0.005806
71,1626666304751093000,0.404556,0.001032,0.019654,0.404556,0.001032,0.019654,0.207718,0.003987,0.006387
72,1626666304784419000,0.419321,0.001531,0.021215,0.419321,0.001531,0.021215,0.219684,0.004132,0.007014
73,1626666304817745000,0.434497,-0.000165,0.022478,0.434497,-0.000165,0.022478,0.231833,0.004299,0.007677
74,1626666304851070000,0.450077,-0.001113,0.023533,0.450077,-0.001113,0.023533,0.244675,0.004475,0.008379
75,1626666304884396000,0.465698,-0.001567,0.024172,0.465698,-0.001567,0.024172,0.257741,0.004662,0.009108
76,1626666304917722000,0.480953,-0.002717,0.024507,0.480953,-0.002717,0.024507,0.270800,0.004858,0.009858
77,1626666304951048000,0.494692,-0.004107,0.025173,0.494692,-0.004107,0.025173,0.284521,0.005043,0.010610
78,1626666304984373000,0.507788,-0.004100,0.026508,0.507788,-0.004100,0.026508,0.298404,0.005213,0.011351
79,1626666305017699000,0.522158,-0.002727,0.028178,0.522158,-0.002727,0.028178,0.312213,0.005371,0.012078
80,1626666305051025000,0.537752,-0.002319,0.029637,0.537752,-0.002319,0.029637,0.326623,0.005514,0.012794
81,1626666305084350000,0.552829,-0.002108,0.030836,0.552829,-0.002108,0.030836,0.341105,0.005638,0.013488
82,1626666305117676000,0.567031,-0.001903,0.031577,0.567031,-0.001903,0.031577,0.355424,0.005747,0.014157
83,1626666305151002000,0.580806,-0.001166,0.031525,0.580806,-0.001166,0.031525,0.370218,0.005862,0.014845
84,1626666305184328000,0.595193,-0.000815,0.030917,0.595193,-0.000815,0.030917,0.384930,0.005984,0.015541
85,1626666305217653000,0.610537,-0.000619,0.030251,0.610537,-0.000619,0.030251,0.399330,0.006114,0.016240
86,1626666305250979000,0.626235,-0.000079,0.029739,0.626235,-0.000079,0.029739,0.414102,0.006242,0.016945
87,1626666305284305000,0.641117,0.001175,0.029894,0.641117,0.001175,0.029894,0.428676,0.006368,0.017645
88,1626666305317631000,0.656139,0.001231,0.030190,0.656139,0.001231,0.030190,0.442826,0.006493,0.018336
89,1626666305350957000,0.671404,0.000376,0.030247,0.671404,0.000376,0.030247,0.457267,0.006610,0.019023
90,1626666305384282000,0.686434,0.001630,0.030822,0.686434,0.001630,0.030822,0.471423,0.006719,0.019694
91,1626666305417608000,0.700635,0.002316,0.032211,0.700635,0.002316,0.032211,0.485078,0.006821,0.020347
92,1626666305450934000,0.713866,0.001593,0.033884,0.713866,0.001593,0.033884,0.498968,0.006913,0.020990
93,1626666305484259000,0.726855,0.002107,0.035290,0.726855,0.002107,0.035290,0.512528,0.006996,0.021613
94,1626666305517585000,0.739480,0.003309,0.036248,0.739480,0.003309,0.036248,0.525544,0.007070,0.022213
95,1626666305550911000,0.752369,0.004089,0.036705,0.752369,0.004089,0.036705,0.538803,0.007138,0.022809
96,1626666305584237000,0.765555,0.004341,0.036625,0.765555,0.004341,0.036625,0.551755,0.007201,0.023390
97,1626666305617562000,0.778282,0.006013,0.036850,0.778282,0.006013,0.036850,0.564193,0.007260,0.023955
98,1626666305650888000,0.790460,0.007387,0.037617,0.790460,0.007387,0.037617,0.576874,0.007316,0.024519
99,1626666305684214000,0.801346,0.007481,0.038380,0.801346,0.007481,0.038380,0.589263,0.007372,0.025071
100,1626666305717539000,0.810605,0.008086,0.039331,0.810605,0.008086,0.039331,0.601159,0.007426,0.025609
101,1626666305750865000,0.819113,0.008538,0.040510,0.819113,0.008538,0.040510,0.613300,0.007480,0.026146
102,1626666305784191000,0.827410,0.009242,0.041802,0.827410,0.009242,0.041802,0.625165,0.007536,0.026671
103,1626666305817517000,0.835143,0.009723,0.043540,0.835143,0.009723,0.043540,0.636559,0.007592,0.027183
104,1626666305850843000,0.841980,0.010449,0.045284,0.841980,0.010449,0.045284,0.648200,0.007652,0.027692
105,1626666305884168000,0.849162,0.011176,0.046112,0.849162,0.011176,0.046112,0.659578,0.007715,0.028189
106,1626666305917494000,0.857614,0.011520,0.045895,0.857614,0.011520,0.045895,0.670505,0.007780,0.028671
107,1626666305950820000,0.866822,0.013112,0.045306,0.866822,0.013112,0.045306,0.681677,0.007849,0.029152
108,1626666305984146000,0.875975,0.014108,0.044877,0.875975,0.014108,0.044877,0.692600,0.007920,0.029622
109,1626666306017471000,0.884333,0.013774,0.044415,0.884333,0.013774,0.044415,0.703087,0.007993,0.030078
110,1626666306050797000,0.891673,0.014187,0.043903,0.891673,0.014187,0.043903,0.713824,0.008069,0.030537
111,1626666306084123000,0.898959,0.014825,0.043870,0.898959,0.014825,0.043870,0.724331,0.008147,0.030989
112,1626666306117448000,0.906515,0.016546,0.043906,0.906515,0.016546,0.043906,0.734429,0.008225,0.031432
113,1626666306150774000,0.914384,0.016894,0.044268,0.914384,0.016894,0.044268,0.744810,0.008306,0.031887
114,1626666306184100000,0.921614,0.016721,0.044776,0.921614,0.016721,0.044776,0.755016,0.008386,0.032342
115,1626666306217426000,0.928987,0.016105,0.045383,0.928987,0.016105,0.045383,0.764872,0.008464,0.032796
