time,gyr_x,gyr_y,gyr_z,x_sum,y_sum,z_sum,,,time,oldX
1.63E+18,-0.52236,0.680539,-0.043947,0,0,0,,,1.63E+18,-0.021804
1.63E+18,-0.49494,0.610883,-0.075695,-0.005218318,0.006798508,-0.000439026,,,1.63E+18,-0.02135
1.63E+18,-0.466701,0.556411,-0.097442,-0.010167781,0.012907417,-0.001195985,,,1.63E+18,-0.020848
1.63E+18,-0.464066,0.532011,-0.11753,-0.014834732,0.018471455,-0.002170393,,,1.63E+18,-0.020295
1.63E+18,-0.421637,0.453541,-0.086184,-0.019475451,0.023791633,-0.003345708,,,1.63E+18,-0.019596
1.63E+18,-0.317022,0.192196,-0.021799,-0.023695977,0.028331514,-0.004208397,,,1.63E+18,-0.018744
1.63E+18,-0.305537,0.235986,0.0943,-0.026863072,0.030251579,-0.004426172,,,1.63E+18,-0.017756
1.63E+18,-0.25419,0.320757,0.054053,-0.029918403,0.032611409,-0.003483185,,,1.63E+18,-0.016663
1.63E+18,-0.19141,-0.017069,0.038956,-0.032460335,0.03581902,-0.002942648,,,1.63E+18,-0.015485
1.63E+18,-0.128962,-0.389819,0.080547,-0.034374411,0.035648332,-0.002553093,,,1.63E+18,-0.014255
1.63E+18,-0.111736,-0.512394,0.058503,-0.035664047,0.031750092,-0.001747612,,,1.63E+18,-0.012959
1.63E+18,-0.213785,-0.695549,0.157167,-0.036781393,0.026626218,-0.00116259,,,1.63E+18,-0.011625
1.63E+18,-0.367339,-0.846624,0.232949,-0.03891927,0.019670639,0.0004091,,,1.63E+18,-0.010284
1.63E+18,-0.500316,-0.725952,0.282115,-0.042592613,0.011204507,0.002738561,,,1.63E+18,-0.008874
1.63E+18,-0.604757,-0.483212,0.289777,-0.047595838,0.003944894,0.005559747,,,1.63E+18,-0.007418
1.63E+18,-0.575069,-0.397708,0.293931,-0.053649368,-0.000891988,0.008460373,,,1.63E+18,-0.005935
1.63E+18,-0.402665,-0.428409,0.339868,-0.05939439,-0.004865148,0.011396786,,,1.63E+18,-0.004353
1.63E+18,-0.164515,-0.313828,0.352975,-0.063420989,-0.009149183,0.014795422,,,1.63E+18,-0.0027
1.63E+18,-0.048398,-0.090268,0.29983,-0.06506616,-0.012287504,0.018325217,,,1.63E+18,-0.001003
1.63E+18,-0.071873,-0.166382,0.38317,-0.065550133,-0.013190172,0.021323479,,,1.63E+18,0.000835
1.63E+18,-0.058556,-0.399349,0.387865,-0.06626959,-0.014855675,0.025159054,,,1.63E+18,0.002761
1.63E+18,0.020141,-0.395736,0.255446,-0.066854558,-0.018845126,0.029033782,,,1.63E+18,0.004732
1.63E+18,0.119922,-0.217485,0.080041,-0.066653146,-0.022802537,0.031588274,,,1.63E+18,0.006834
1.63E+18,0.187448,-0.229581,0.006912,-0.065453941,-0.024977359,0.032388674,,,1.63E+18,0.008975
1.63E+18,0.229668,-0.250769,-0.065328,-0.063579437,-0.027273199,0.032457795,,,1.63E+18,0.011104
1.63E+18,0.29161,-0.287211,-0.149295,-0.061282786,-0.029780856,0.031804523,,,1.63E+18,0.01325
1.63E+18,0.366572,-0.369853,-0.196873,-0.058366649,-0.032653003,0.030311554,,,1.63E+18,0.015286
1.63E+18,0.503789,-0.380517,-0.279916,-0.054700976,-0.036351486,0.028342849,,,1.63E+18,0.017165
1.63E+18,0.656942,-0.28023,-0.359485,-0.049663021,-0.040156705,0.025543653,,,1.63E+18,0.018837
1.63E+18,0.751609,-0.119782,-0.373797,-0.043093685,-0.042958969,0.02194885,,,1.63E+18,0.020167
1.63E+18,0.801316,0.113132,-0.373221,-0.035569995,-0.044158,0.0182071,,,1.63E+18,0.021141
1.63E+18,0.827216,0.293599,-0.352888,-0.027564938,-0.043027824,0.014478664,,,1.63E+18,0.021755
1.63E+18,0.847741,0.311384,-0.328768,-0.019292672,-0.040091796,0.010949739,,,1.63E+18,0.021915
1.63E+18,0.853885,0.193208,-0.299464,-0.010815371,-0.036977996,0.007662101,,,1.63E+18,0.021647
1.63E+18,0.839486,0.078819,-0.244381,-0.002276411,-0.035045891,0.004667422,,,1.63E+18,0.02118
1.63E+18,0.819519,0.044052,-0.223245,0.006126723,-0.034256925,0.002221204,,,1.63E+18,0.020476
1.63E+18,0.837461,0.086097,-0.173346,0.014313835,-0.033816839,-9.05E-06,,,1.63E+18,0.019578
1.63E+18,0.780529,0.142733,-0.051993,0.022688338,-0.03295588,-0.001742484,,,1.63E+18,0.018814
1.63E+18,0.681324,0.320268,-0.025621,0.030493728,-0.031528532,-0.002262421,,,1.63E+18,0.0182
1.63E+18,0.61282,0.415772,-0.031486,0.037306881,-0.028325893,-0.002518627,,,1.63E+18,0.017754
1.63E+18,0.586029,0.349869,-0.064891,0.043435159,-0.024168119,-0.002833491,,,1.63E+18,0.017544
1.63E+18,0.52599,0.19134,-0.096377,0.049295374,-0.020669474,-0.003482393,,,1.63E+18,0.01757
1.63E+18,0.452756,0.020909,-0.110165,0.054555342,-0.01875605,-0.004446175,,,1.63E+18,0.017807
1.63E+18,0.367147,-0.064368,-0.096552,0.059082844,-0.018546962,-0.005547811,,,1.63E+18,0.018227
1.63E+18,0.241658,-0.119014,-0.068452,0.062754361,-0.019190651,-0.006513344,,,1.63E+18,0.018812
1.63E+18,0.156835,-0.054297,-0.044628,0.06517091,-0.020380775,-0.007197855,,,1.63E+18,0.019523
1.63E+18,0.10451,0.047613,-0.043162,0.06673928,-0.020923752,-0.007644141,,,1.63E+18,0.020388
1.63E+18,0.036774,0.172735,-0.018291,0.067784366,-0.020447628,-0.008075755,,,1.63E+18,0.021429
1.63E+18,-0.051417,0.390744,-0.047927,0.068152111,-0.018720256,-0.008258667,,,1.63E+18,0.022622
1.63E+18,-0.167796,0.562642,-0.127531,0.067637948,-0.014812866,-0.008737931,,,1.63E+18,0.023973
1.63E+18,-0.32868,0.474974,-0.250751,0.065959966,-0.009186374,-0.010013258,,,1.63E+18,0.025539
1.63E+18,-0.401984,0.161443,-0.44649,0.062673208,-0.004436695,-0.012520735,,,1.63E+18,0.027302
1.63E+18,-0.406644,-0.256982,-0.675216,0.058653317,-0.002822244,-0.016985693,,,1.63E+18,0.029239
